動画ID,いい,うい,うまい,ええ,おおい,かっこいい,かっこよい,かわいい,かわゆい,くい,こい,こわい,すい,すごい,っぽい,ない,ほしい,ぽい,やばい,よい,イイ,凄い,可愛い,怖い,懐かしい,早い,欲しい,良い,重い,高い
sm2013783,0.06718855556802542,0.0,0.0,0.2512130456667904,0.0,0.0,0.0,0.9325562661754714,0.15788769370481984,0.0,0.0,0.0,0.0,0.09838077854154793,0.0,0.12239293896557284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11458263911196172,0.0,0.0
sm2039810,0.20311840704538048,0.0,0.0,0.18986117960667925,0.0,0.495770690650126,0.2880535993214305,0.14096101759024343,0.0,0.0,0.23223016437820448,0.6429440662476682,0.0,0.0,0.20622891587266406,0.1850036705367161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1731979719962401,0.0,0.0
sm2096153,0.6002021187875878,0.0,0.0,0.2244111381790818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2734479688015157,0.0,0.6468254069860654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31022598037510596,0.0,0.0,0.0
sm2205860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275825906861742,0.0,0.0,0.0,0.0,0.4018316666416926,0.4401667104764153,0.0,0.0,0.4007099820058966,0.0,0.0,0.0,0.0,0.0,0.0,0.6139264901211705
sm2280411,0.5639712765629464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8257944049289512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2408207,0.4643383643326009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288734352514988,0.0,0.0,0.0,0.0,0.5759841930174887,0.41584249697234604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2489873,0.3070487513430358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6743937628653307,0.0,0.2796651808099584,0.0,0.0,0.5515001456320793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2618188169657619,0.0,0.0
sm2519176,0.40974026691404414,0.0,0.0,0.0,0.0,0.2500231491449197,0.0,0.568706753977226,0.24071415590843076,0.0,0.1171164776766867,0.0,0.0,0.14999044896125452,0.4160149356438207,0.0,0.23334356922581997,0.12762390221501133,0.0,0.0,0.11667178461290999,0.0,0.09173666704696667,0.0,0.0,0.0,0.13236382381002562,0.2620374895129102,0.0,0.0
sm2533949,0.3180550462226729,0.2387973564934764,0.0,0.0,0.0,0.0,0.0,0.5886006901743542,0.2491345800125898,0.0,0.24242666052124168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119863666298163,0.0
sm2553659,0.7871494246542927,0.3545974899726142,0.0,0.0,0.32492939972374013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230516559170902,0.0,0.0,0.0,0.0,0.0,0.3097408667171894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2577615,0.24711162161397182,0.0,0.0,0.0,0.0,0.0,0.700885686093006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5017916649336426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.442606175393399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2584252,0.302744136281376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649392201048677,0.3073802907393084,0.27574446481853787,0.0,0.0,0.5437684879620464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2653480,0.04213045096987727,0.0,0.0,0.07876132187975607,0.0,0.9597639888966858,0.0,0.1169515126991505,0.0,0.0,0.0,0.0,0.0,0.061689472733590565,0.17110250823901035,0.0,0.09597172253970247,0.0,0.0,0.0,0.09597172253970247,0.0,0.07546062645530457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sm2678744,0.23197952043469433,0.037322445257510196,0.06580320103137692,0.13939622505871074,0.017099895059439832,0.0,0.023498797292705525,0.8509481033682549,0.11681425448937113,0.02298116997299569,0.01894484072002746,0.0,0.0,0.06065639142898368,0.0672948576431916,0.31693628899061654,0.03774581373792323,0.020644528827159576,0.11904739532989154,0.016300575820430756,0.018872906868961616,0.04110811891182909,0.17807262443688712,0.0,0.025313576103637218,0.052843262039772666,0.0,0.0282582411400859,0.0,0.1364122510249754
sm2758851,0.29278687950672616,0.0,0.12239210825071693,0.02880811875362827,0.0,0.0,0.0,0.9197000405229432,0.07242374563649068,0.0,0.0,0.0,0.0,0.06769151204970206,0.09387491078269981,0.05614215314283598,0.035103077423394996,0.0,0.05535620405926131,0.030318613822629622,0.0,0.0,0.13800420284123918,0.0,0.047082541550096065,0.0,0.03982434631196866,0.05255953592505478,0.0,0.0
sm2827322,0.0,0.0,0.0,0.533544433855955,0.0,0.0,0.0,0.5941891318837559,0.3353333021657513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32506550897406633,0.0,0.0,0.28075987511775485,0.0,0.0,0.2555924422013768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
