動画ID,ccc,gumi,wktk,wr,www,yyy,いい,いいね,ええ,かっこいい,かわいい,きた,ここ,これ,さん,すごい,ない,やばい,ダイヤ,ハート,ミク,リン,レン,中毒,乖離,可愛い,大好き,好き,愛愛愛,最高
sm1986944,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm2013783,0,0,0,0,1,0,1,1,2,0,10,0,0,3,0,1,1,0,0,0,2,4,4,1,0,0,0,1,0,0
sm2039810,0,0,0,0,0,0,2,2,1,3,1,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
sm2096153,0,0,0,0,1,0,5,0,1,0,0,0,1,13,0,0,0,3,0,0,1,2,13,3,0,0,1,1,0,2
sm2205860,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,1,0,1,0,0,6,0,0,0,0,1,0,3,0,0
sm2280411,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm2408207,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0
sm2489873,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,3,1,2,0,0,0,2,1,0,0,0,0,1,0,0
sm2519176,0,0,20,0,0,0,8,1,0,3,8,1,0,7,1,2,0,0,0,0,2,0,0,0,0,1,2,1,0,0
sm2533949,0,0,0,0,0,0,3,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
sm2553659,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm2577615,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
sm2584252,0,0,4,0,0,0,2,0,0,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,648,0,0,0,0,0
sm2653480,0,0,0,0,1,0,1,0,1,14,2,0,0,1,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0
sm2678744,0,0,1,0,13,0,28,3,9,0,74,6,8,54,0,5,21,8,0,0,3,4,20,91,0,12,1,10,0,2
sm2758851,0,0,0,0,2,0,19,5,1,0,43,1,1,10,1,3,2,2,0,0,0,0,10,0,0,5,0,1,0,0
sm2827322,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0
sm3032672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm3045725,0,0,0,0,0,0,6,2,0,1,0,0,1,7,3,1,2,2,0,0,0,0,1,0,0,0,1,1,0,1
sm3060283,0,0,0,0,0,0,1,0,0,0,5,3,0,2,0,1,0,0,0,0,3,6,0,0,0,1,0,0,0,0
sm3197958,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm3279352,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0
sm3372198,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
sm3425798,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm3534601,0,0,0,0,0,0,14,2,0,0,4,0,3,2,0,0,0,0,0,0,3,0,0,0,0,1,1,4,0,1
sm3671490,0,0,0,0,2,0,7,0,1,0,33,4,0,5,1,2,0,0,0,0,4,0,0,0,0,10,2,0,0,0
sm3636268,0,0,0,0,1,0,5,17,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sm3671912,0,0,1,0,1,0,1,0,1,0,2,0,0,7,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0
sm3698889,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm3950088,0,0,0,0,1,0,5,1,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0
sm3971759,0,0,0,0,0,0,2,1,0,0,4,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
sm3995757,0,0,1,0,1,0,24,9,17,28,0,3,1,8,3,10,1,3,0,0,12,11,0,0,0,0,0,8,0,1
sm4028567,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,2,4,0,0
sm4180612,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
sm4189459,0,0,0,0,1,0,7,1,1,0,24,6,2,3,8,1,2,0,0,0,1,4,2,0,0,3,0,0,0,0
sm4218005,0,0,6,0,0,0,18,1,1,0,21,6,1,14,2,6,0,2,0,0,5,6,0,2,0,17,9,6,0,5
sm4247321,0,0,16,0,0,0,4,0,0,0,1,17,0,8,34,1,0,1,0,0,3,0,0,1,0,0,1,4,0,1
sm4271005,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,0,64,0,0,0,0,0,1,0,2,0,0
sm4291081,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sm4387562,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm4451787,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0
sm4459566,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sm4554935,0,0,0,0,8,0,11,3,36,0,76,16,0,10,0,2,1,20,0,0,15,0,0,0,0,51,0,1,0,3
